Serie ID;#Season;#Episode;Episode title;Length (minutes);Synopsis
81022683;1;63;Episodio 63;46;Juancho le descubre a la policía la verdadera identidad de Yeimy. Cata le da una noticia sorprendente a Juancho. Charly logra que lo dejen hablar con Yeimy.
81022683;1;64;Episodio 64;46;Axl le muestra a Charly una nueva canción que ha escrito. Tras saber la noticia de Juancho, Yeimy recibe una visita sorpresa. Charly enseña a Irma a seducir al público.
81022683;1;65;Episodio 65;46;Vanesa se enfrenta a Yeimy. El informe de balística está disponible. Yeimy recibe un aviso de que la van a atacar. Zulma lanza una campaña para liberar a Yeimy.
81022683;1;66;Episodio 66;46;Vanesa tiene la sensación de que su padre le oculta algo y registra su dormitorio. La policía consigue una orden para arrestar al contable de Charly.
81022683;1;67;Episodio 67;46;Tras la visita de Jack y Juancho, Yeimy toma una importante decisión. Axl no lleva bien las diferencias creativas con Charly. Irma se harta de su padre.
81022683;1;68;Episodio 68;45;Yeimy decide revelar su verdadera identidad a Charly. Lucio le entrega a su novia un objeto para que lo guarde en un sitio seguro. Vanesa le presenta a su padre a Pite.
81022683;1;69;Episodio 69;46;Yeimy le dice a Erik quién es su madre biológica y responde a sus preguntas. La policía le pisa los talones a Lucio. Ligia descubre la verdad sobre los orígenes de Erik.
81022683;1;70;Episodio 70;46;Erik le cuenta quién es su padre a Charly. Cata va a la casa de Yeimy por sorpresa. La policía llama a un número desconocido grabado en el teléfono de Lucio.
81022683;1;71;Episodio 71;45;"Yeimy acepta trabajar para Surround con una condición; más tarde, desvela un secreto en Internet. Cuando Mora se pone ambicioso, la abogada de Charly urde un plan."
81022683;1;72;Episodio 72;45;El destino hace que Cata esté a la hora y en el lugar equivocados. Axl sospecha que Charly le va a robar su canción. La novia de Lucio descubre lo que hay en el teléfono.
81022683;1;73;Episodio 73;46;Juancho toma una decisión sobre Cata. La novia de Lucio le hace una visita a Charly. Irma descubre a quién hirió su padre. Yeimy organiza un encuentro con Axl.
81022683;1;74;Episodio 74;46;Yeimy se reúne con Mora gracias a la policía. Charly queda con la novia de Lucio para entregarle el dinero. Irma le cuenta a su padre lo que descubrió sobre la víctima.
81022683;1;75;Episodio 75;45;Axl hace una audición para Yeimy. Ligia visita al padre de Irma. Erik y Cris comienzan su competición. Irma trata de acallar los rumores que la relacionan con Charly.
81022683;1;76;Episodio 76;46;Rosalía trata de enamorar a Juancho. Mora solicita hablar con el inspector Contreras y Yeimy. El hombre que desbloqueó el teléfono para Marlene acude a la policía.
81022683;1;77;Episodio 77;46;Rosalía intenta mantener a Juancho lejos de Yeimy. El padre de Irma, José, visita a Ligia. Yeimy le pide ayuda a Axl para demostrar la culpabilidad de Charly.
81022683;1;78;Episodio 78;46;Yeimy organiza un encuentro con el amigo de Marlene que desbloqueó el teléfono. Una fan de Erik le hace una pregunta delicada. Juancho decide conquistar a Yeimy.
81022683;1;79;Episodio 79;45;José hace una entrevista de trabajo. Cuando Vanesa escucha la grabación, Yeimy le confiesa sus más terribles secretos. Juancho descubre que Rosalía intentó comprar votos.
81022683;1;80;Episodio 80;46;Vanesa duda sobre si debe entregar a la policía lo que encontró en el armario. Yeimy y Jack mantienen una conversación muy tensa. Cata tiene una noticia para Juancho.
81022683;1;81;Episodio 81;46;Axl cambia de opinión y Charly se enfrenta a él. Durante el concierto, Erik invita a su padre a que suba al escenario. Los análisis de la grabación están disponibles.
81022683;1;82;Episodio 82;45;Vanesa recibe una llamada de su padre y le cuenta un secreto. Charly toma una decisión arriesgada. Han pasado dos años y el futuro de todos se ha ido desdibujando.
80192098;1;1;Episode 1;80;El Profesor recluta a una joven experta en atracos y a otros siete delincuentes para llevar a cabo un gran asalto a la Fábrica Nacional de Moneda y Timbre.
80192098;1;2;Episodio 2;67;Raquel, la negociadora de rehenes, establece un primer contacto con el Profesor. La policía consigue una imagen de la cara de uno de los ladrones.
80192098;1;3;Episode 3;63;Raquel sufre una crisis con su ex. Los rehenes se asustan al oír disparos. Los ladrones discuten entre sí.
80192098;1;4;Episode 4;64;Los atracadores permiten la entrada a un equipo médico y un policía se infiltra entre ellos. ¿Podrá el Profesor mantenerse un paso por delante de Raquel?
80192098;1;5;Episode 5;69;A Río le inquietan las noticias que ve en la televisión. Cierto avance en la investigación pone al Profesor en peligro de ser descubierto.
80192098;1;6;Episode 6;74;Cuando la prensa revela su identidad, Berlín quiere vengarse. Tokio pilla a Alison charlando con Río y se encara con ella.
80192098;1;7;Episodio 7;67;Raquel entra en la Fábrica de Moneda y Timbre para asegurarse de que todos los rehenes se encuentran sanos y salvos. Nairobi aconseja a Alison.
80192098;1;8;Episodio 8;68;Arturo urde un plan de fuga para un grupo de rehenes. Ángel y Raquel no se fían el uno del otro. Mónica mueve ficha con Denver.
80192098;1;9;Episodio 9;72;El Profesor revela quién le dio la idea para el plan. En la Fábrica de Moneda y Timbre, los atracadores les hacen una oferta a los rehenes: dinero o libertad.
80192098;2;1;Episodio 1;63;El Profesor pierde el control cuando la policía científica rastrea la casa de campo de Toledo en busca de restos de ADN. En la Fábrica, los nervios están a flor de piel.
80192098;2;2;Episodio 2;62;La policía interroga a la primera atracadora que cae en sus manos. Hecho una furia por las últimas decisiones de Berlín, Río le planta cara.
80192098;2;3;Episodio 3;64;Los atracadores, conscientes de que su plan no funciona, deciden ganarse el favor de la opinión pública. Raquel le tiende una trampa al Profesor para capturarlo.
80192098;2;4;Episodio 4;71;Arturo se enfrenta a un duro castigo por intentar montar otro plan de fuga. Tras confesarle la verdad a Denver, Moscú pierde su confianza.
80192098;2;5;Episodio 5;64;Cuando la relación de Raquel con el Profesor sale a la luz y la apartan del caso, la inspectora decide cazar al cabecilla de la banda por su cuenta.
80192098;2;6;Episodio 6;69;La policía ha entrado en la Fábrica y Berlín se pone al frente de los atracadores para intentar escapar con los 984 millones de euros y, a ser posible, vivos.
80221207;1;1;Los Cangris;51;En el año 2000, a Nicky Jam y Daddy Yankee, dos artistas con futuro, se les presenta una gran oportunidad mientras que las acciones de su amigo Tito los pone en peligro.
80221207;1;2;Escape a Nueva Yol;44;Los Cangris vuelan a Nueva York huyendo de Cuti, que les sigue sin que ellos sepan por qué. Aleysha hace una impactante revelación. Nicky aumenta su consumo de droga.
80221207;1;3;Con el micrófono y la forty;44;Los Cangris se preparan para el concierto de Coyote, y Cuti amenaza a los amigos y familia de Nicky, que recuerda las dificultades que vivió su madre durante su infancia.
80221207;1;4;En la cama;47;Yankee ayuda a pagar la fianza de Nicky, que visita a Aleysha cuando está de gira en Florida. Más tarde, hace una parada en Massachusetts para buscar a su madre.
80221207;1;5;El infiltrado;46;Nicky va a prisión, donde su adicción le acarrea problemas, y recibe una visita sorpresa. Las deudas de Isabel ponen a José en apuros.
80221207;1;6;Vida escante;41;La rivalidad musical con Daddy Yankee va en aumento y Nicky siente celos del éxito de su colega. José traslada su familia a la casa de su hermano en San Juan.
80221207;1;7;El origen;45;La adicción de Nicky a los opiáceos se agrava hasta tal punto que afecta a su carrera y su nueva novia se engancha también. José se enfrenta a su pasado delictivo.
80221207;1;8;El futuro es paisa;47;Tras viajar a Colombia para un concierto, Nicky recupera su autoestima y conoce a otra mujer. En 1994, un Nicky adolescente es descubierto en un supermercado.
80221207;1;9;Medellín;44;Nicky se muda a Medellín, escribe nuevas canciones e inicia una relación, pero sigue siendo un juerguista empedernido. Un ambicioso Juan Diego intenta demostrar su valía.
80221207;1;10;Cold turkey;46;Mientras ayuda a Nicky a desintoxicarse, José entiende la gravedad de la adicción de su hijo. El cantante vuelve a trabajar, pero no se libra de la tentación.
80221207;1;11;Ave Fénix;44;Juan Diego usa sus dotes comerciales y tácticas engañosas para resucitar la carrera musical de Nicky. Mientras tanto, el cantante está preocupado por su madre.
80221207;1;12;Isabel;43;Nicky, de gira en República Dominicana, vuelve a ver a su madre, que viaja con él a Medellín para desintoxicarse y le pide que reflexione sobre su vida amorosa.
80221207;1;13;Dímelo Papi, llegamos al Choli;41;Nicky visita Lawrence cuando un amigo de la infancia sufre una tragedia. El cantante disfruta del éxito internacional, pero el regreso a Puerto Rico le causa ansiedad.
80036140;1;1;Episodio 1;42;Cuando su padre se gasta el dinero de la universidad, Brenda se ve obligada a trabajar para pagarse los estudios. Braulio asesina al prometido de su hija Guadalupe.
80036140;1;2;Episodio 2;44;Gregorio le muestra a Braulio su invento para ocultar cocaína en los zapatos. Braulio le da a Lucrecia los papeles del divorcio. Brenda incendia el laboratorio de drogas.
80036140;1;3;Episodio 3;44;Brenda interroga a Nicanor sobre el fuego causado por la cocaína, pero él lo niega. El padre de Brenda es arrestado por tráfico de drogas.
80036140;1;4;Episodio 4;43;Norman rapta a Lucrecia para asustarla, pero esta le ofrece un trabajo que le interesa. Brenda hace negocios con Braulio para sacar a su padre de la cárcel.
